category_name,sub_category_name,product_name,modification,description,characteristics,id,your_price,rrc_and_mrc,url
Наружное,Стадионы,Плазма D,Плазма 500 D Box 4000К 60°,"Серия промышленных светодиодных прожекторов для освещения: • спортивных площадок, бассейнов, теннисных кортов; • площадей, открытых парковок; • складов; • производственных помещений. Серия «Плазмы D» – это светильники с высокой энергоэффективностью (до 160 лм/Вт) и круглыми линзами. Прожекторы имеют оптимальное соотношение эффективности и цены за люмен, а широкий мощностной ряд позволяет решать самые разные светотехнические задачи. У «Плазм D» есть модификация «Box», в которой источники питания размещаются в монтажном шкафу. Также это исполнение имеет поворотные модули, которые можно ориентировать независимо друг от друга в разных направлениях. Количество модулей варьируется в зависимости от мощности светильника.   Светодиодный модуль Светодиодный модуль содержит значительное количество диодов, равномерно распределённых по большой площади. Светодиоды работают при низких токах (50% от номинальных и ниже), что повышает эффективность светильника и увеличивает срок его службы.   Источник питания Источник питания наружного исполнения, его металлический корпус залит теплопроводящим компаундом. За счёт этого снижается нагрев светодиодного модуля и самого источника питания, поэтому светильник служит дольше. Также источник питания защищён от микросекундных импульсов высокой энергии до 12 кВ. Это позволяет сохранять работоспособность светильника даже при появлении в сети посторонних помех.   Линза Линза изготовлена из УФ-стабилизированного поликарбоната, который не мутнеет, не желтеет и не трескается при эксплуатации на улице.   Корпус Экструдированный корпус из анодированного алюминия имеет большую площадь поверхности, что обеспечивает эффективное теплоотведение от светодиодов.   Кронштейн В комплекте идёт кронштейн, который позволяет регулировать угол наклона светильников. Специальные зубцы на кронштейнах дополнительно облегчают регулировку положения прожектора.","   Светотехнические      Световой поток, [лм]  80000    Световая отдача, [лм/Вт]  160    Цветовая температура, [К]  4000    Двойной угол половинной яркости, [°]  60    Тип кривой силы света  глубокая    Индекс цветопередачи (CRI), не менее  70    Производитель светодиодов  Bridgelux       Электрические      Мощность, [Вт]  500    Напряжение питания, [В]  176-264    Коэффициент мощности (Pf), не менее  0,98    Тип питания  AC    Частота напряжения электропитания, [Гц]  50    Класс защиты от поражения электрическим током (по ГОСТ Р МЭК 60598-1-2011)  I       Эксплуатационные      Температура эксплуатации, [°С]  от -60 до +50    Степень защиты от пыли и влаги (по ГОСТ Р МЭК 60598-1-2011)  IP67    Климатическое исполнение (по ГОСТ 15150-69)  УХЛ1    Рекомендуемая высота установки, [м]  6-30    Срок службы светильника, не менее, [лет]  12    Срок службы светодиодов, не менее, [ч]  100 000    Гарантийный срок, [лет]  5       Конструктивные      Габаритные размеры, [мм]  500×370×299    Масса, [кг]  14,6    Тип крепления  поворотный кронштейн    Материал корпуса  профиль из алюминиевого сплава    Материал оптического элемента  УФ-стабилизированный поликарбонат       Упаковка и транспортировка      Длина упаковки, [см]  58,9    Ширина упаковки, [см]  38,7    Высота упаковки, [см]  21,7    Объём упаковки, [м³]  0,049    Масса брутто, [кг]  15,7    Количество в упаковке, [шт.]  1   ",PL-4726.0000.0500-40.060060,25 010 р.,"50 100 р.,40 050 р.",https://promled.com/plazma-500-d-box-4000k-60%C2%B0/
Наружное,Стадионы,Плазма D,Плазма 750 D 3000К 120°,"Серия промышленных светодиодных прожекторов для освещения: • спортивных площадок, бассейнов, теннисных кортов; • площадей, открытых парковок; • складов; • производственных помещений. Серия «Плазмы D» – это светильники с высокой энергоэффективностью (до 160 лм/Вт) и круглыми линзами. Прожекторы имеют оптимальное соотношение эффективности и цены за люмен, а широкий мощностной ряд позволяет решать самые разные светотехнические задачи. У «Плазм D» есть модификация «Box», в которой источники питания размещаются в монтажном шкафу. Также это исполнение имеет поворотные модули, которые можно ориентировать независимо друг от друга в разных направлениях. Количество модулей варьируется в зависимости от мощности светильника.   Светодиодный модуль Светодиодный модуль содержит значительное количество диодов, равномерно распределённых по большой площади. Светодиоды работают при низких токах (50% от номинальных и ниже), что повышает эффективность светильника и увеличивает срок его службы.   Источник питания Источник питания наружного исполнения, его металлический корпус залит теплопроводящим компаундом. За счёт этого снижается нагрев светодиодного модуля и самого источника питания, поэтому светильник служит дольше. Также источник питания защищён от микросекундных импульсов высокой энергии до 12 кВ. Это позволяет сохранять работоспособность светильника даже при появлении в сети посторонних помех.   Линза Линза изготовлена из УФ-стабилизированного поликарбоната, который не мутнеет, не желтеет и не трескается при эксплуатации на улице.   Корпус Экструдированный корпус из анодированного алюминия имеет большую площадь поверхности, что обеспечивает эффективное теплоотведение от светодиодов.   Кронштейн В комплекте идёт кронштейн, который позволяет регулировать угол наклона светильников. Специальные зубцы на кронштейнах дополнительно облегчают регулировку положения прожектора.","   Светотехнические      Световой поток, [лм]  111600    Световая отдача, [лм/Вт]  149    Цветовая температура, [К]  3000    Двойной угол половинной яркости, [°]  120    Тип кривой силы света  полуширокая    Индекс цветопередачи (CRI), не менее  70    Производитель светодиодов  Bridgelux       Электрические      Мощность, [Вт]  750    Напряжение питания, [В]  176-264    Коэффициент мощности (Pf), не менее  0,98    Тип питания  AC    Частота напряжения электропитания, [Гц]  50    Класс защиты от поражения электрическим током (по ГОСТ Р МЭК 60598-1-2011)  I       Эксплуатационные      Температура эксплуатации, [°С]  от -60 до +50    Степень защиты от пыли и влаги (по ГОСТ Р МЭК 60598-1-2011)  IP67    Климатическое исполнение (по ГОСТ 15150-69)  УХЛ1    Рекомендуемая высота установки, [м]  6-30    Срок службы светильника, не менее, [лет]  12    Срок службы светодиодов, не менее, [ч]  100 000    Гарантийный срок, [лет]  5       Конструктивные      Габаритные размеры, [мм]  579×498×365    Масса, [кг]  18,1    Тип крепления  поворотный кронштейн    Материал корпуса  профиль из алюминиевого сплава    Материал оптического элемента  УФ-стабилизированный поликарбонат       Упаковка и транспортировка      Длина упаковки, [см]  60,8    Ширина упаковки, [см]  47,5    Высота упаковки, [см]  25    Объём упаковки, [м³]  0,072    Масса брутто, [кг]  19,4    Количество в упаковке, [шт.]  1   ",PL-4723.0000.0750-30.120120,36 640 р.,"73 300 р.,58 650 р.",https://promled.com/plazma-750-d-3000k-120%C2%B0/
Наружное,Стадионы,Плазма D,Плазма 600 D Box 5000К 90°,"Серия промышленных светодиодных прожекторов для освещения: • спортивных площадок, бассейнов, теннисных кортов; • площадей, открытых парковок; • складов; • производственных помещений. Серия «Плазмы D» – это светильники с высокой энергоэффективностью (до 160 лм/Вт) и круглыми линзами. Прожекторы имеют оптимальное соотношение эффективности и цены за люмен, а широкий мощностной ряд позволяет решать самые разные светотехнические задачи. У «Плазм D» есть модификация «Box», в которой источники питания размещаются в монтажном шкафу. Также это исполнение имеет поворотные модули, которые можно ориентировать независимо друг от друга в разных направлениях. Количество модулей варьируется в зависимости от мощности светильника.   Светодиодный модуль Светодиодный модуль содержит значительное количество диодов, равномерно распределённых по большой площади. Светодиоды работают при низких токах (50% от номинальных и ниже), что повышает эффективность светильника и увеличивает срок его службы.   Источник питания Источник питания наружного исполнения, его металлический корпус залит теплопроводящим компаундом. За счёт этого снижается нагрев светодиодного модуля и самого источника питания, поэтому светильник служит дольше. Также источник питания защищён от микросекундных импульсов высокой энергии до 12 кВ. Это позволяет сохранять работоспособность светильника даже при появлении в сети посторонних помех.   Линза Линза изготовлена из УФ-стабилизированного поликарбоната, который не мутнеет, не желтеет и не трескается при эксплуатации на улице.   Корпус Экструдированный корпус из анодированного алюминия имеет большую площадь поверхности, что обеспечивает эффективное теплоотведение от светодиодов.   Кронштейн В комплекте идёт кронштейн, который позволяет регулировать угол наклона светильников. Специальные зубцы на кронштейнах дополнительно облегчают регулировку положения прожектора.","   Светотехнические      Световой поток, [лм]  96000    Световая отдача, [лм/Вт]  160    Цветовая температура, [К]  5000    Двойной угол половинной яркости, [°]  90    Тип кривой силы света  косинусная    Индекс цветопередачи (CRI), не менее  70    Производитель светодиодов  Bridgelux       Электрические      Мощность, [Вт]  600    Напряжение питания, [В]  176-264    Коэффициент мощности (Pf), не менее  0,98    Тип питания  AC    Частота напряжения электропитания, [Гц]  50    Класс защиты от поражения электрическим током (по ГОСТ Р МЭК 60598-1-2011)  I       Эксплуатационные      Температура эксплуатации, [°С]  от -60 до +50    Степень защиты от пыли и влаги (по ГОСТ Р МЭК 60598-1-2011)  IP67    Климатическое исполнение (по ГОСТ 15150-69)  УХЛ1    Рекомендуемая высота установки, [м]  6-30    Срок службы светильника, не менее, [лет]  12    Срок службы светодиодов, не менее, [ч]  100 000    Гарантийный срок, [лет]  5       Конструктивные      Габаритные размеры, [мм]  560×442×400    Масса, [кг]  25    Тип крепления  поворотный кронштейн    Материал корпуса  профиль из алюминиевого сплава    Материал оптического элемента  УФ-стабилизированный поликарбонат       Упаковка и транспортировка      Количество в упаковке, [шт.]  1   ",PL-4726.0000.0600-50.090090,37 280 р.,"74 600 р.,59 650 р.",https://promled.com/plazma-600-d-box-5000k-90%C2%B0/
Наружное,Стадионы,Плазма D,Плазма 600 D Box 5000К 60°,"Серия промышленных светодиодных прожекторов для освещения: • спортивных площадок, бассейнов, теннисных кортов; • площадей, открытых парковок; • складов; • производственных помещений. Серия «Плазмы D» – это светильники с высокой энергоэффективностью (до 160 лм/Вт) и круглыми линзами. Прожекторы имеют оптимальное соотношение эффективности и цены за люмен, а широкий мощностной ряд позволяет решать самые разные светотехнические задачи. У «Плазм D» есть модификация «Box», в которой источники питания размещаются в монтажном шкафу. Также это исполнение имеет поворотные модули, которые можно ориентировать независимо друг от друга в разных направлениях. Количество модулей варьируется в зависимости от мощности светильника.   Светодиодный модуль Светодиодный модуль содержит значительное количество диодов, равномерно распределённых по большой площади. Светодиоды работают при низких токах (50% от номинальных и ниже), что повышает эффективность светильника и увеличивает срок его службы.   Источник питания Источник питания наружного исполнения, его металлический корпус залит теплопроводящим компаундом. За счёт этого снижается нагрев светодиодного модуля и самого источника питания, поэтому светильник служит дольше. Также источник питания защищён от микросекундных импульсов высокой энергии до 12 кВ. Это позволяет сохранять работоспособность светильника даже при появлении в сети посторонних помех.   Линза Линза изготовлена из УФ-стабилизированного поликарбоната, который не мутнеет, не желтеет и не трескается при эксплуатации на улице.   Корпус Экструдированный корпус из анодированного алюминия имеет большую площадь поверхности, что обеспечивает эффективное теплоотведение от светодиодов.   Кронштейн В комплекте идёт кронштейн, который позволяет регулировать угол наклона светильников. Специальные зубцы на кронштейнах дополнительно облегчают регулировку положения прожектора.","   Светотехнические      Световой поток, [лм]  96000    Световая отдача, [лм/Вт]  160    Цветовая температура, [К]  5000    Двойной угол половинной яркости, [°]  60    Тип кривой силы света  глубокая    Индекс цветопередачи (CRI), не менее  70    Производитель светодиодов  Bridgelux       Электрические      Мощность, [Вт]  600    Напряжение питания, [В]  176-264    Коэффициент мощности (Pf), не менее  0,98    Тип питания  AC    Частота напряжения электропитания, [Гц]  50    Класс защиты от поражения электрическим током (по ГОСТ Р МЭК 60598-1-2011)  I       Эксплуатационные      Температура эксплуатации, [°С]  от -60 до +50    Степень защиты от пыли и влаги (по ГОСТ Р МЭК 60598-1-2011)  IP67    Климатическое исполнение (по ГОСТ 15150-69)  УХЛ1    Рекомендуемая высота установки, [м]  6-30    Срок службы светильника, не менее, [лет]  12    Срок службы светодиодов, не менее, [ч]  100 000    Гарантийный срок, [лет]  5       Конструктивные      Габаритные размеры, [мм]  560×442×400    Масса, [кг]  25    Тип крепления  поворотный кронштейн    Материал корпуса  профиль из алюминиевого сплава    Материал оптического элемента  УФ-стабилизированный поликарбонат       Упаковка и транспортировка      Количество в упаковке, [шт.]  1   ",PL-4726.0000.0600-50.060060,37 280 р.,"74 600 р.,59 650 р.",https://promled.com/plazma-600-d-box-5000k-60%C2%B0/
Наружное,Стадионы,Плазма D,Плазма 600 D Box 5000К 120°,"Серия промышленных светодиодных прожекторов для освещения: • спортивных площадок, бассейнов, теннисных кортов; • площадей, открытых парковок; • складов; • производственных помещений. Серия «Плазмы D» – это светильники с высокой энергоэффективностью (до 160 лм/Вт) и круглыми линзами. Прожекторы имеют оптимальное соотношение эффективности и цены за люмен, а широкий мощностной ряд позволяет решать самые разные светотехнические задачи. У «Плазм D» есть модификация «Box», в которой источники питания размещаются в монтажном шкафу. Также это исполнение имеет поворотные модули, которые можно ориентировать независимо друг от друга в разных направлениях. Количество модулей варьируется в зависимости от мощности светильника.   Светодиодный модуль Светодиодный модуль содержит значительное количество диодов, равномерно распределённых по большой площади. Светодиоды работают при низких токах (50% от номинальных и ниже), что повышает эффективность светильника и увеличивает срок его службы.   Источник питания Источник питания наружного исполнения, его металлический корпус залит теплопроводящим компаундом. За счёт этого снижается нагрев светодиодного модуля и самого источника питания, поэтому светильник служит дольше. Также источник питания защищён от микросекундных импульсов высокой энергии до 12 кВ. Это позволяет сохранять работоспособность светильника даже при появлении в сети посторонних помех.   Линза Линза изготовлена из УФ-стабилизированного поликарбоната, который не мутнеет, не желтеет и не трескается при эксплуатации на улице.   Корпус Экструдированный корпус из анодированного алюминия имеет большую площадь поверхности, что обеспечивает эффективное теплоотведение от светодиодов.   Кронштейн В комплекте идёт кронштейн, который позволяет регулировать угол наклона светильников. Специальные зубцы на кронштейнах дополнительно облегчают регулировку положения прожектора.","   Светотехнические      Световой поток, [лм]  96000    Световая отдача, [лм/Вт]  160    Цветовая температура, [К]  5000    Двойной угол половинной яркости, [°]  120    Тип кривой силы света  полуширокая    Индекс цветопередачи (CRI), не менее  70    Производитель светодиодов  Bridgelux       Электрические      Мощность, [Вт]  600    Напряжение питания, [В]  176-264    Коэффициент мощности (Pf), не менее  0,98    Тип питания  AC    Частота напряжения электропитания, [Гц]  50    Класс защиты от поражения электрическим током (по ГОСТ Р МЭК 60598-1-2011)  I       Эксплуатационные      Температура эксплуатации, [°С]  от -60 до +50    Степень защиты от пыли и влаги (по ГОСТ Р МЭК 60598-1-2011)  IP67    Климатическое исполнение (по ГОСТ 15150-69)  УХЛ1    Рекомендуемая высота установки, [м]  6-30    Срок службы светильника, не менее, [лет]  12    Срок службы светодиодов, не менее, [ч]  100 000    Гарантийный срок, [лет]  5       Конструктивные      Габаритные размеры, [мм]  560×442×400    Масса, [кг]  25    Тип крепления  поворотный кронштейн    Материал корпуса  профиль из алюминиевого сплава    Материал оптического элемента  УФ-стабилизированный поликарбонат       Упаковка и транспортировка      Количество в упаковке, [шт.]  1   ",PL-4726.0000.0600-50.120120,37 280 р.,"74 600 р.,59 650 р.",https://promled.com/plazma-600-d-box-5000k-120%C2%B0/
